COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
291;;c277+c70<=>c610+c68+c5;
292;;c172+c119<=>c171+c139+c5;
293;;c611+c11<=>c612+c89;
294;;c613+c14<=>c614+c92;
295;;c615+c44<=>c97+c278+c5;
296;;c616+c14<=>c290+c116+c5;
297;;c617+c66<=>c618+c64+c5;
298;;c619+c169<=>c169+c619;
299;;c620<=>c621;
300;;c622+c14+c5<=>c623;
301;;c624+c625<=>c626+c57+c5+c5;
302;;c627+c372+c48+c11+c5<=>c628+c46+c19+c14;
303;;c76+c70+c70+c70<=>c629+c68+c68+c68+c5+c5+c5;
304;;c630+c64+c5<=>c631+c66;
305;;c632+c14<=>c633+c44;
306;;c634+c552<=>c635+c5;
307;;c636+c637<=>c638+c14;
308;;c77+c118<=>c316;
309;;c639+c437+c46+c19<=>c640+c48+c11;
310;;c641+c642+c642<=>c643+c644+c14;
311;;c513+c52<=>c514+c53;
312;;c645+c14<=>c646+c363+c5;
313;;c647+c10+c5+c5<=>c648+c13+c14;
314;;c649+c52<=>c650+c53+c5;
315;;c203+c157<=>c651+c4+c5;
316;;c652+c14<=>c653+c44+c5;
317;;c654+c379<=>c655+c380;
318;;c656+c44<=>c463+c52;
319;;c657+c14<=>c334;
320;;c658+c116<=>c659+c114;
321;;c660+c14<=>c661+c92;
322;;c662+c116<=>c59+c663;
323;;c293+c53+c5<=>c294+c52;
324;;c664+c116+c5<=>c665+c114;
325;;c666+c372+c5<=>c667+c14;
326;;c668+c14<=>c669+c400;
327;;c670+c671+c139+c44+c5<=>c672+c339+c52;
328;;c393+c297<=>c296+c282;
329;;c38+c5<=>c673+c19;
330;;c239<=>c674+c44;
331;;c675+c14<=>c312+c569;
332;;c676+c64+c11+c5<=>c677+c66+c14;
333;;c678+c19<=>c679+c5;
334;;c680<=>c681;
335;;c682+c64+c11<=>c683+c66+c14;
336;;c684<=>c74+c77;
337;;c147+c148<=>c146+c14;
338;;c42<=>c685+c44;
339;;c686+c14<=>c687+c100;
340;;c688+c10+c5+c5<=>c689+c13;
341;;c690+c10+c5<=>c691+c13;
342;;c692+c13<=>c693+c10+c5;
343;;c694+c136+c136+c11+c5+c5<=>c427+c138+c138+c14+c14;
344;;c695+c52+c14<=>c695+c53+c18+c5;
345;;c696+c11+c14<=>c196+c89+c118;
346;;c697+c698<=>c699+c415+c5;
347;;c700+c44<=>c42;
348;;c602+c64+c5<=>c701+c66;
349;;c702+c291<=>c703+c116;
350;;c704+c68+c5<=>c327+c70;
351;;c705+c706<=>c707+c14;
352;;c708+c10+c5<=>c709+c13;
353;;c710+c14<=>c711+c5+c5;
354;;c712+c713+c179<=>c523+c177+c14;
355;;c714+c118+c52<=>c715+c53+c18+c14+c5;
356;;c52+c14<=>c139+c44+c5;
357;;c716<=>c717+c168;
358;;c718+c719+c52<=>c720+c53+c18+c5;
359;;c42<=>c721+c44;
360;;c465<=>c464;
361;;c722+c114<=>c723+c116+c5;
362;;c724+c724+c10+c11+c11<=>c725+c725+c13+c5;
363;;c196+c64+c5<=>c285+c66;
364;;c726+c44<=>c42;
365;;c727+c177+c14+c14<=>c728+c179+c11+c11;
366;;c729<=>c730;
367;;c731<=>c732+c368;
368;;c733+c733+c52<=>c734+c53+c18+c5;
369;;c735+c27+c14+c5<=>c736+c25+c11;
370;;c737+c301+c52<=>c738+c139+c44;
371;;c739+c52<=>c740+c53+c5;
372;;c169+c523<=>c741+c713;
373;;c742+c138+c138+c14<=>c743+c136+c136+c11+c5+c5;
374;;c101+c70+c70<=>c744+c68+c68+c5+c5;
375;;c745+c10+c11+c5<=>c746+c13;
376;;c747+c202+c5<=>c748+c749;
377;;c750+c4+c5<=>c29+c157;
378;;c751+c14<=>c752+c118;
379;;c753+c13<=>c451+c10+c5;
380;;c754+c10+c5+c5<=>c755+c13;
381;;c756+c139+c44<=>c757+c758+c52;
382;;c42+c14<=>c759+c44;
383;;c196+c118<=>c760+c14;
384;;c666+c139+c44<=>c271+c52+c116;
385;;c417+c761<=>c762+c14;
386;;c763+c11+c14<=>c764+c199+c89;
387;;c765+c5<=>c766+c19;
388;;c661<=>c767+c18;
389;;c768+c4<=>c415+c7;
390;;c601+c769<=>c770+c46;
391;;c771+c70+c70<=>c772+c68+c68+c5+c5+c5;
392;;c773+c371<=>c774+c374+c5;
393;;c775+c66<=>c776+c64+c5;
394;;c777+c14<=>c778;
395;;c46+c10+c5+c5<=>c141+c13+c14;
