reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R08239,2.1.1.67,2,True,True,True,True,True,True,True,False,True,True,9
R04575,2.4.1.102,2,True,True,False,True,True,True,True,True,True,True,9
R03698,1.14.11.31,1,True,True,True,True,True,False,True,True,True,True,9
R12606,2.6.1.-,2,True,True,False,True,True,True,True,True,True,True,9
R08250,2.3.1.5,2,True,True,True,True,True,True,True,False,True,True,9
R00946,2.1.1.13,2,True,True,True,True,True,False,True,True,True,True,9
R00453,2.6.1.71,2,True,True,False,True,True,True,True,True,True,True,9
R07003,2.5.1.18,2,True,True,True,False,True,True,True,True,True,True,9
R10874,2.4.1.-,2,True,False,True,True,True,True,True,True,True,True,9
R01351,3.1.1.23,3,True,True,True,True,True,False,True,True,True,True,9
R00670,4.1.1.17,4,True,True,True,False,True,True,True,True,True,True,9
R01587,3.5.1.36,3,True,False,True,True,True,True,True,True,True,True,9
R02142,2.4.2.8|2.4.2.22,2,True,False,True,True,True,True,True,True,True,True,9
R08896,1.1.3.43,1,True,True,True,False,True,True,True,True,True,True,9
R04237,2.1.1.11,2,True,True,True,True,True,True,True,False,True,True,9
R04495,2.4.1.38,2,True,True,True,True,False,True,True,True,True,True,9
R00451,4.1.1.20,4,True,True,True,False,True,True,True,True,True,True,9
R08648,2.2.1.6,2,True,True,True,False,True,True,True,True,True,True,9
R01776,2.3.1.31,2,True,True,True,True,True,True,True,False,True,True,9
R03554,2.1.1.50,2,True,True,True,True,True,True,True,False,True,True,9
R04457,2.5.1.78,2,True,True,True,False,True,True,True,True,True,True,9
R01151,1.4.3.10|1.4.3.22,1,True,True,True,True,True,True,False,True,True,True,9
R05759,2.1.1.141,2,True,True,True,True,True,True,True,False,True,True,9
