reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R09228/1.3.1A1/;	5-fu/1.3.1A1;	0.514019	0.777778	0.421053	0.342466	0.345133	0.402778	0.471264	0.618421	0.777778
R11067(r)/1.3.1A1/;	5-fu/1.3.1A1;	0.513825	1	0.6	0.433333	0.408163	0.439394	0.460674	0.516484	0.651163
R05240/1.3.1A1/1.3.1.58;	5-fu/1.3.1A1;	0.51049	0.777778	0.444444	0.352941	0.345455	0.414286	0.493976	0.5875	0.7
R05239/1.3.1A1/1.3.1.56;	5-fu/1.3.1A1;	0.506944	0.777778	0.444444	0.363636	0.365385	0.432836	0.482353	0.566265	0.658824
R05239/1.3.1A1/1.3.1.56;	5-fu/1.3.1A1;	0.506944	0.777778	0.444444	0.363636	0.365385	0.432836	0.482353	0.566265	0.658824
R04910(r)/1.3.1A2/;	5-fu/1.3.1A1;	0.503946	0.777778	0.470588	0.419355	0.42	0.441176	0.468927	0.516484	0.629213
R03763/1.3.1A1/1.3.1.5;	5-fu/1.3.1A1;	0.503386	1	0.642857	0.448276	0.434783	0.467742	0.488095	0.51087	0.518519
R03764/1.3.1A2/1.3.1.5;	5-fu/1.3.1A1;	0.503386	1	0.642857	0.448276	0.434783	0.467742	0.488095	0.51087	0.518519
R07015/1.3.1A2/1.3.1.20;	5-fu/1.3.1A1;	0.502294	0.777778	0.444444	0.363636	0.358491	0.42029	0.460674	0.566265	0.682927
R06910/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.502294	0.777778	0.470588	0.387097	0.372549	0.426471	0.471264	0.546512	0.643678
R06910/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.502294	0.777778	0.470588	0.387097	0.372549	0.426471	0.471264	0.546512	0.643678
R04115/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.502294	0.777778	0.444444	0.363636	0.358491	0.42029	0.460674	0.566265	0.682927
R04115/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.493243	0.777778	0.421053	0.342857	0.345455	0.408451	0.455556	0.566265	0.682927
R05241/1.3.1A1/1.3.1.56;	5-fu/1.3.1A1;	0.493243	0.777778	0.444444	0.363636	0.365385	0.432836	0.471264	0.54023	0.615385
R05241/1.3.1A1/1.3.1.56;	5-fu/1.3.1A1;	0.493243	0.777778	0.444444	0.363636	0.365385	0.432836	0.471264	0.54023	0.615385
R04115/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.493243	0.777778	0.421053	0.342857	0.345455	0.408451	0.455556	0.566265	0.682927
R07015/1.3.1A2/1.3.1.20;	5-fu/1.3.1A1;	0.493243	0.777778	0.421053	0.342857	0.345455	0.408451	0.455556	0.566265	0.682927
R06931/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.491031	0.777778	0.470588	0.387097	0.38	0.439394	0.460674	0.51087	0.608696
R06931/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.491031	0.777778	0.470588	0.387097	0.38	0.439394	0.460674	0.51087	0.608696
R06910/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.474026	0.777778	0.421053	0.342857	0.339286	0.391892	0.43617	0.534091	0.643678
R03883/1.3.1A2/1.3.1.47;	5-fu/1.3.1A1;	0.473461	1	0.642857	0.464286	0.434783	0.446154	0.445652	0.460784	0.482759
R03882/1.3.1A1/1.3.1.47;	5-fu/1.3.1A1;	0.473461	1	0.642857	0.464286	0.434783	0.446154	0.445652	0.460784	0.482759
R05312/1.3.1A1/1.3.1.65;	5-fu/1.3.1A1;	0.473029	0.777778	0.5	0.424242	0.407407	0.413333	0.42	0.479592	0.589474
R06910/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.469957	0.777778	0.421053	0.333333	0.333333	0.386667	0.431579	0.534091	0.643678
R03251/1.3.1A1/1.3.1.18;	5-fu/1.3.1A1;	0.463002	0.777778	0.470588	0.387097	0.372549	0.426471	0.44086	0.465347	0.543689
R07705/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.452479	0.777778	0.470588	0.387097	0.38	0.432836	0.44086	0.456311	0.491228
R07705/1.3.1A1/1.3.1.29;	5-fu/1.3.1A1;	0.452479	0.777778	0.470588	0.387097	0.38	0.432836	0.44086	0.456311	0.491228
R04151/1.3.1A1/1.3.1.49;	5-fu/1.3.1A1;	0.447853	0.777778	0.470588	0.387097	0.372549	0.414286	0.427083	0.456311	0.5
R05310/1.3.1A1/1.3.1.60;	5-fu/1.3.1A1;	0.439759	0.777778	0.470588	0.387097	0.372549	0.408451	0.414141	0.447619	0.486957
R05396/1.3.1A2/;	5-fu/1.3.1A1;	0.436255	0.777778	0.444444	0.352941	0.327586	0.381579	0.418367	0.465347	0.518519
R05396/1.3.1A2/;	5-fu/1.3.1A1;	0.436255	0.777778	0.444444	0.352941	0.327586	0.381579	0.418367	0.465347	0.518519
R05395/1.3.1A1/;	5-fu/1.3.1A1;	0.436255	0.777778	0.444444	0.352941	0.327586	0.381579	0.418367	0.465347	0.518519
R05395/1.3.1A1/;	5-fu/1.3.1A1;	0.436255	0.777778	0.444444	0.352941	0.327586	0.381579	0.418367	0.465347	0.518519
R03251/1.3.1A1/1.3.1.18;	5-fu/1.3.1A1;	0.426386	0.777778	0.5	0.391304	0.362832	0.367089	0.383178	0.427273	0.513761
R06272(r)/1.3.1A2/1.3.1.75;	5-fu/1.3.1A1;	0.42065	0.777778	0.5	0.423729	0.393939	0.42029	0.445652	0.427273	0.378378
R06896(r)/1.3.1A2/1.3.1.75;	5-fu/1.3.1A1;	0.42065	0.777778	0.5	0.423729	0.393939	0.42029	0.445652	0.427273	0.378378
R02497,R02498/1.3.1A2/1.3.1.22,1.3.1.3;	5-fu/1.3.1A1;	0.405455	1	0.6	0.433333	0.4	0.402778	0.394231	0.391667	0.370861
